Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,RCOSC_50MHZ
COREAHBLSRAM_C0_0/COREAHBLSRAM_C0_0/U_COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_AHBLSramIf/Primitives,31,30,0,0,0,0,0,0,0,0,0
COREAHBLSRAM_C0_0/COREAHBLSRAM_C0_0/U_SramCtrlIf/Primitives,12,36,0,0,0,0,0,0,0,0,0
COREAHBLSRAM_C0_0/COREAHBLSRAM_C0_0/U_SramCtrlIf/S0.byte_0/Primitives,301,0,360,360,0,0,10,0,0,0,0
COREAHBTOAPB3_C1_0/COREAHBTOAPB3_C1_0/U_AhbToApbSM/Primitives,22,9,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_C1_0/COREAHBTOAPB3_C1_0/U_ApbAddrData/Primitives,20,32,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_C1_0/COREAHBTOAPB3_C1_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0,0
COREJTAGDEBUG_C0_0/COREJTAGDEBUG_C0_0/Primitives,1,0,0,0,0,0,0,0,0,1,0
COREJTAGDEBUG_C0_0/COREJTAGDEBUG_C0_0/genblk1.genblk1.genblk1.UJTAG_inst/Primitives,0,0,0,0,0,0,0,0,0,2,0
COREJTAGDEBUG_C0_0/COREJTAGDEBUG_C0_0/genblk3.genblk1.UJ_JTAG/Primitives,116,17,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/Primitives,80,43,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_8/Primitives,50,4,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_8/slave_arbiter/Primitives,20,13,0,0,0,0,0,0,0,0,0
