
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. top, 4978, 9356, 1238, 0, 2, 18, 8, 7, 6
.	. COREAHBLSRAM_C0, 66, 280, 64, 0, 0, 10, 0, 0, 0
.	.	. COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_COREAHBLSRAM_19_32_32_20480_128_0, 66, 280, 64, 0, 0, 10, 0, 0, 0
.	.	.	. COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_AHBLSramIf_work_top_rtl_0layer0, 30, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_SramCtrlIf_work_top_rtl_0layer0, 36, 249, 64, 0, 0, 10, 0, 0, 0
.	.	.	.	. COREAHBLSRAM_C0_COREAHBLSRAM_C0_0_lsram_2048to139264x8_20480_0, 0, 237, 64, 0, 0, 10, 0, 0, 0
.	. COREAHBTOAPB3_C1, 43, 44, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_19, 43, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_work_top_rtl_0layer0, 9, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0, 32, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_work_top_rtl_0layer0, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_C0, 17, 119, 0, 0, 0, 0, 0, 3, 0
.	.	. COREJTAGDEBUG_Z1_layer1, 17, 119, 0, 0, 0, 0, 0, 3, 0
.	.	.	. COREJTAGDEBUG_UJTAG_WRAPPER, 0, 1, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_85_0_0, 17, 116, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_C0, 61, 152, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite_C0_CoreAHBLite_C0_0_CoreAHBLite_work_top_rtl_0layer0, 61, 152, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_256_0_0_0_0, 61, 152, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0, 44, 82, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0_0, 17, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_0_1, 13, 20, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_C1, 43, 74, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite_C1_CoreAHBLite_C1_0_CoreAHBLite_work_top_rtl_0layer0, 43, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_0_0_0_0, 43, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0, 28, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0_2, 15, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_0_1_0, 11, 15, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_C0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	. coreaPB3_32_0_0_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_7_19, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CAPB3li, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_C0, 8, 4, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_C0_CoreGPIO_C0_0_CoreGPIO_work_top_rtl_0layer0, 8, 4, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_CoreGPIO_OUT_0_CoreGPIO_work_top_rtl_0layer0, 4, 1, 0, 0, 0, 0, 0, 0, 0
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. MIV_RV32IMA_L1_AHB_C0, 4736, 8676, 1174, 0, 2, 8, 8, 2, 0
.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_24576s_0s_0s_0s, 4736, 8676, 1174, 0, 2, 8, 8, 2, 0
.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM, 4736, 8676, 1174, 0, 2, 8, 8, 2, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 174, 192, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 144, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN, 32, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_1, 41, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_JTAG_BYPASS_CHAIN, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_JTAG_TAP_CONTROLLER, 15, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_2, 5, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_JTAG_STATE_MACHINE, 4, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_W4_I15, 4, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_68, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_69, 1, 1, 0, 0, 0, 0, 0, 0, 0
